region,segment,technology,unit,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
greece,cement,lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158
spain,cement,conventional,eur_per_tonne_cement_per_year,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
spain,cement,ccs,eur_per_tonne_cement_per_year,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
spain,cement,af,eur_per_tonne_cement_per_year,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
spain,cement,af_ccs,eur_per_tonne_cement_per_year,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155
spain,cement,af_lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
spain,cement,lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
spain,cement,af_lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
spain,cement,lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158
france,cement,conventional,eur_per_tonne_cement_per_year,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
france,cement,ccs,eur_per_tonne_cement_per_year,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
france,cement,af,eur_per_tonne_cement_per_year,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
france,cement,af_ccs,eur_per_tonne_cement_per_year,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155
france,cement,af_lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
france,cement,lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
france,cement,af_lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
france,cement,lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158
croatia,cement,conventional,eur_per_tonne_cement_per_year,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
croatia,cement,ccs,eur_per_tonne_cement_per_year,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
croatia,cement,af,eur_per_tonne_cement_per_year,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
croatia,cement,af_ccs,eur_per_tonne_cement_per_year,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155
croatia,cement,af_lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
croatia,cement,lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
croatia,cement,af_lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
croatia,cement,lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158
italy,cement,conventional,eur_per_tonne_cement_per_year,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
italy,cement,ccs,eur_per_tonne_cement_per_year,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
italy,cement,af,eur_per_tonne_cement_per_year,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
italy,cement,af_ccs,eur_per_tonne_cement_per_year,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155
italy,cement,af_lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
italy,cement,lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
italy,cement,af_lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
italy,cement,lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158
cyprus,cement,conventional,eur_per_tonne_cement_per_year,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
cyprus,cement,ccs,eur_per_tonne_cement_per_year,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
cyprus,cement,af,eur_per_tonne_cement_per_year,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
cyprus,cement,af_ccs,eur_per_tonne_cement_per_year,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155
cyprus,cement,af_lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
cyprus,cement,lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
cyprus,cement,af_lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
cyprus,cement,lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158
latvia,cement,conventional,eur_per_tonne_cement_per_year,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
latvia,cement,ccs,eur_per_tonne_cement_per_year,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
latvia,cement,af,eur_per_tonne_cement_per_year,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
latvia,cement,af_ccs,eur_per_tonne_cement_per_year,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155
latvia,cement,af_lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
latvia,cement,lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
latvia,cement,af_lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
latvia,cement,lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158
lithuania,cement,conventional,eur_per_tonne_cement_per_year,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
lithuania,cement,ccs,eur_per_tonne_cement_per_year,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
lithuania,cement,af,eur_per_tonne_cement_per_year,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
lithuania,cement,af_ccs,eur_per_tonne_cement_per_year,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155
lithuania,cement,af_lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
lithuania,cement,lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
lithuania,cement,af_lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
lithuania,cement,lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158
luxembourg,cement,conventional,eur_per_tonne_cement_per_year,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
luxembourg,cement,ccs,eur_per_tonne_cement_per_year,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
luxembourg,cement,af,eur_per_tonne_cement_per_year,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
luxembourg,cement,af_ccs,eur_per_tonne_cement_per_year,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155
luxembourg,cement,af_lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
luxembourg,cement,lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
luxembourg,cement,af_lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
luxembourg,cement,lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158
hungary,cement,conventional,eur_per_tonne_cement_per_year,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
hungary,cement,ccs,eur_per_tonne_cement_per_year,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
hungary,cement,af,eur_per_tonne_cement_per_year,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
hungary,cement,af_ccs,eur_per_tonne_cement_per_year,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155
hungary,cement,af_lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
hungary,cement,lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
hungary,cement,af_lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
hungary,cement,lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158
malta,cement,conventional,eur_per_tonne_cement_per_year,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
malta,cement,ccs,eur_per_tonne_cement_per_year,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
malta,cement,af,eur_per_tonne_cement_per_year,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
malta,cement,af_ccs,eur_per_tonne_cement_per_year,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155
malta,cement,af_lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
malta,cement,lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
malta,cement,af_lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
malta,cement,lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158
netherlands,cement,conventional,eur_per_tonne_cement_per_year,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
